name,width,height,cut,range,slow,self_camo,camo_aura,uncamo,reload_time,bullet_lifespan,damage,upgrade_costs,colour,cost,root,base,combination,self_cleave,move_cleave,cleave,cleave_cost,show_base,components,activate_cost,self_activate,activatable,activate,unlocked,shop,unlock_towers,number,unlock wave,pathway,game_info,info
C3,35,35,"275, 0,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",30,",,","C3bBb, C3bBbP, C4b2b,","C3bBb, C3bBbP, C4b2b,","C3a, C3b,","(C3a; C3b), (C3a; C3b), (C3a; C3b),","(C3a; C3b), (C3a; C3b), (C3a; C3b),",5,,"C3,",5,0,0,,1,1,"C3a, C3b,",99,0,"Alternative, Lectin, Classical,","C3, the first part of the complement cascade, it is cleaved by C3 Convertase into C3b and C3a ","C3 is the first protein in the Alternative pathway of the Complement system, it is switched from a passive state to an active state by the immune system and split into C3b and C3a, C3b then tries to find an invading pathogen to attach itself to, then it acts as a base for other proteins to attach to, to form more complex structures, changes into C3bB when combined with a B protein."
C3a,35,35,"35, 0,",80,0,1,,0,20,60,1,"15, 30, 15, 75,","200, 200, 0,",40,",,",",,",",,",",,",",,",",,",5,,"C3a,",5,0,0,,1,1,",,",10,0,"Alternative, Lectin, Classical,",Cleaved from C3,"Formed when C3 splits into C3b and C3a (in this game C3 is formed by combining C3b and C3a which is the wrong way around compared to how it really works), C3a's stream away from the area with the pathogens and call for backup from other immune defences (eg phagocytes). C3a acts as a cytokine-a small cell signalling protein."
C3b,35,35,"0, 0,",80,0,0,,0,20,60,1,"15, 30, 20, 70,","200, 200, 200,",35,",,","C3bBb, C4b2b, C3bBbP, B,","C3bBbC3b, C4b2b3b, C3bBbPC3b, C3bB,",",,",",,",",,",5,C3 Convertase,"C3b,",5,0,0,,1,1,"B,",10,0,"Alternative, Lectin, Classical,",Base for B,"This attaches to the C3b which is currently embedded in an invading cell, the C3b acts as a hook and is the correct shape for the B protein to be able to combine with it to form C3bB."
B,35,35,"70, 0,",80,0,0,,0,20,60,1,"25, 35, 10, 80,","200, 200, 200,",45,",,","C3b,","C3bB,",",,",",,",",,",5,C3b,"B,",5,0,0,,1,1,"D,",99,0,"Alternative,",Combines with C3b,"This attaches to the C3b which is currently embedded in an invading cell, the C3b acts as a hook and is the correct shape for the B protein to be able to combine with it to form C3bB."
D,35,35,"105, 0,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",20,"D,","C3bB,","C3bBb,",",,","Ba,","(Ba; D),",5,C3bB,"D,",5,0,0,,1,1,"P,",99,0,"Alternative,","Cleaves B into Bb and Ba while B is attached to C3b, therefore giving C3bBb and Ba","In reality this protein doesn't bind to C3bB but instead 'hits' it and alters its shape, in doing so a Ba protein is released from the C3bB and it changes into a C3bBb protein. The D protein cleaves the B protein attached to the C3b protein into Ba and Bb, the Bb remains attached to the C3b leaving C3bBb."
P,35,35,"150, 0,",80,0,0,1.0,0,20,60,1,"15, 30, 15, 75,","50, 250, 250,",60,",,","C3bBb, C3bBbC3b,","C3bBbP, C3bBbPC3b,",",,",",,",",,",5,C3bBb,"P,",5,0,0,,1,1,",,",99,0,"Alternative,",Stabilises C3bBb to form C3bBbP as part of the alternative pathway to create a more stable C3 Convertase,"The P protein attaches to C3bBb to form C3bBbp, this stabilises the C3bBb compound so later C5 Convertase can be formed."
Bb,35,35,"210, 90,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,",",,",",,",",,",",,",",,",5,,"Bb,",5,0,0,,1,1,",,",10,0,"Alternative,",Stays attached to C3b after being cleaved by D,
Ba,35,35,"175, 0,",80,0,1,,1,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,",",,",",,",",,",",,",",,",5,,"Ba,",5,0,0,,1,1,",,",10,0,"Alternative,",The offshoot from D cleaving C3bB into C3bBb and Ba.,
C3bB,35,35,"0, 90,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",70,"D,","D,","C3bBb,",",,","Ba,","(Ba; D),",5,,"C3b, B,",5,0,0,,1,0,"D,",10,0,"Alternative,","Formed from the combination of C3b and B, a 'base' for D","Formed when a B protein attaches to C3b, changes into C3bBb when combined with a D protein."
C3bBb,35,35,"35, 90,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",75,",,","C3, P, C3b,","None, C3bBbP, C3bBbC3b,",",,","(C3a; C3b),","(C3a; C3b),",5,,"C3b, Bb,",5,0,0,,1,0,"Ba, Bb, P,",10,0,"Alternative,",Alternative pathway C3 Convertase,"Alternative pathway C3 Convertase, cleaves C3 into C3b and C3a, a base for C3b to create C5 Convertase"
